                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4533,                 5.8856,                  4.383,                      0,                      0,                      0,                      0,                 3.4858,                 5.3393,                 4.1598,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                 3.4335,                 5.9037,                 4.3598,                      0,                      0,                      0,                      0,                 3.4853,                 5.3408,                 4.1606,             2.6805e-05,             2.6805e-05,             2.6805e-05
                      2,                 3.3899,                 5.8684,                 4.3252,                      0,                      0,                      0,                      0,                 3.4848,                 5.3395,                 4.1612,             3.6266e-05,             3.6266e-05,             3.6266e-05
                      3,                 3.4949,                 5.8987,                 4.2896,                      0,                      0,                      0,                      0,                 3.4848,                 5.3425,                 4.1626,             4.2665e-05,             4.2665e-05,             4.2665e-05
                      4,                 3.4109,                 5.8401,                 4.3507,                      0,                      0,                      0,                      0,                 3.4837,                 5.3454,                 4.1639,             4.6001e-05,             4.6001e-05,             4.6001e-05
                      5,                 3.3954,                  5.858,                 4.3162,                      0,                      0,                      0,                      0,                 3.4848,                 5.3504,                  4.166,             4.6273e-05,             4.6273e-05,             4.6273e-05
                      6,                 3.4066,                 5.8174,                 4.2806,                      0,                      0,                      0,                      0,                 3.4856,                 5.3546,                 4.1678,             4.3483e-05,             4.3483e-05,             4.3483e-05
                      7,                 3.4183,                 5.8228,                 4.2673,                      0,                      0,                      0,                      0,                 3.4844,                 5.3583,                 4.1694,             3.6533e-05,             3.6533e-05,             3.6533e-05
                      8,                 3.3945,                 5.8319,                 4.2478,                      0,                      0,                      0,                      0,                 3.4843,                 5.3635,                 4.1708,             3.6533e-05,             3.6533e-05,             3.6533e-05
                      9,                 3.4653,                 5.8255,                 4.2704,                      0,                      0,                      0,                      0,                 3.4843,                 5.3668,                 4.1713,             2.4752e-05,             2.4752e-05,             2.4752e-05
