                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9539,                 3.4898,                 4.1308,                0.00088,                0.13235,                0.00135,                0.00034,                 4.8343,                 4.5961,                 4.1406,             0.00064815,             0.00064815,             0.00064815
                      1,                 3.5936,                 3.1316,                  3.789,                0.00108,                0.16176,                0.00479,                0.00123,                 4.7439,                 4.4361,                  3.987,              0.0013105,              0.0013105,              0.0013105
                      2,                 3.2067,                  2.828,                 3.3892,                0.04394,                0.17647,                0.00984,                0.00302,                 4.6406,                 5.5445,                 3.8892,              0.0019684,              0.0019684,              0.0019684
                      3,                 3.0339,                  2.709,                 3.2346,                0.05891,                0.47059,                  0.041,                0.01269,                 2.8079,                 13.029,                 3.0749,              0.0019802,              0.0019802,              0.0019802
                      4,                  2.947,                 2.6155,                 3.1115,                0.14905,                0.38235,                0.10301,                0.03525,                 2.9015,                 5.7366,                 2.7704,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.8154,                   2.47,                 3.0022,                0.06034,                0.36765,                0.04502,                0.00772,                 3.2807,                 4.1582,                 3.1227,              0.0019736,              0.0019736,              0.0019736
                      6,                 2.7439,                 2.5552,                 2.9491,                0.15353,                0.42647,                0.11016,                0.02566,                 3.0205,                 5.5556,                 3.0053,               0.001967,               0.001967,               0.001967
                      7,                 2.6344,                 2.3592,                 2.8366,                0.21424,                0.36765,                0.18597,                0.05054,                 2.8228,                 4.2822,                 2.5618,              0.0019604,              0.0019604,              0.0019604
                      8,                  2.657,                 2.3767,                 2.9204,                0.28499,                0.30882,                0.15819,                0.03979,                 2.7891,                   2.86,                 2.4993,              0.0019538,              0.0019538,              0.0019538
                      9,                 2.5768,                 2.4003,                 2.7969,                0.30193,                0.33824,                0.22226,                0.06645,                 2.3344,                 3.2722,                  2.201,              0.0019472,              0.0019472,              0.0019472
                     10,                 2.5938,                   2.33,                 2.8025,                0.31499,                0.26471,                0.20741,                0.06264,                 2.2777,                 2.7931,                 2.2514,              0.0019406,              0.0019406,              0.0019406
                     11,                 2.5538,                 2.2744,                 2.7619,                0.11278,                0.33824,                0.11542,                0.02432,                 2.7434,                 3.1411,                  2.458,               0.001934,               0.001934,               0.001934
                     12,                 2.4638,                  2.269,                 2.6385,                0.25303,                0.54412,                0.22049,                0.07403,                 2.5436,                 2.5751,                 2.2564,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.4321,                 2.2804,                 2.6724,                0.16989,                 0.3702,                0.17215,                0.05251,                 2.7492,                 2.8875,                 2.3786,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.3729,                 2.1791,                 2.5643,                0.15843,                0.22059,                0.09229,                 0.0309,                  3.458,                 3.2537,                 2.7175,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.2893,                 2.1383,                 2.5247,                0.21325,                0.20588,                0.13963,                0.05526,                 2.7039,                 4.1928,                  2.452,              0.0019076,              0.0019076,              0.0019076
                     16,                 2.2317,                 2.0225,                 2.5007,                0.28941,                0.44118,                0.25102,                0.08725,                 2.2046,                 2.2661,                 2.1271,               0.001901,               0.001901,               0.001901
                     17,                 2.2318,                  1.957,                 2.4373,                0.39366,                0.54412,                0.36837,                0.11805,                 2.2702,                 2.1771,                 2.1506,              0.0018944,              0.0018944,              0.0018944
                     18,                  2.144,                 1.8375,                 2.4123,                0.35883,                0.55882,                0.31391,                0.11416,                 2.1634,                 1.9928,                 2.0677,              0.0018878,              0.0018878,              0.0018878
                     19,                 2.1531,                 1.8061,                 2.3911,                0.46192,                0.42926,                0.44042,                0.16252,                 2.2287,                 2.2635,                 2.1623,              0.0018812,              0.0018812,              0.0018812
